Conta:;11392 - 2.1.1.01.001 - A 2 F INDUSTRIA FARMACEUTICA LTDA;;;;;
08/08/2024;NOTA FISCAL Nº 149819 ;5782;0824-00000818;;1.611,56;51.875,41C
08/08/2024;NOTA FISCAL Nº 149819 ;5782;0824-00000819;;128,02;52.003,43C
08/08/2024;NOTA FISCAL Nº 149843 ;5782;0824-00000820;;500,68;52.504,11C
08/08/2024;PAGAMENTO DUPLICATA Nº 96496 ;72;0824-00003756;117,24;;52.386,87C
08/08/2024;PAGAMENTO DUPLICATA Nº 218102 ;72;0824-00003811;144,32;;52.242,55C
09/08/2024;NOTA FISCAL Nº 149795 ;3152;0824-00000083;;429,95;52.672,50C
09/08/2024;NOTA FISCAL Nº 150294 ;3152;0824-00000099;;87,68;52.760,18C
09/08/2024;NOTA FISCAL Nº 150254 ;5782;0824-00000821;;163,31;52.923,49C
09/08/2024;PAGAMENTO DUPLICATA Nº 54518 ;72;0824-00003752;1.144,72;;51.778,77C
09/08/2024;PAGAMENTO DUPLICATA Nº 97958 ;72;0824-00003803;1.409,55;;50.369,22C
09/08/2024;PAGAMENTO DUPLICATA Nº 98871 ;72;0824-00003822;155,24;;50.213,98C
09/08/2024;PAGAMENTO DUPLICATA Nº 54412 ;72;0824-00003960;254,39;;49.959,59C
09/08/2024;PAGAMENTO DUPLICATA Nº 98690 ;72;0824-00004063;388,1;;49.571,49C
09/08/2024;PAGAMENTO DUPLICATA Nº 218741 ;72;0824-00004091;427,88;;49.143,61C
09/08/2024;PAGAMENTO DUPLICATA Nº 97847 ;72;0824-00004102;449,98;;48.693,63C
09/08/2024;PAGAMENTO DUPLICATA Nº 218720 ;72;0824-00004110;463,39;;48.230,24C
09/08/2024;PAGAMENTO DUPLICATA Nº 98689 ;72;0824-00004114;465,72;;47.764,52C
09/08/2024;PAGAMENTO DUPLICATA Nº 54577 ;72;0824-00004214;75,76;;47.688,76C
10/08/2024;NOTA FISCAL Nº 233297 ;3152;0824-00000071;;232,24;47.921,00C
10/08/2024;NOTA FISCAL Nº 233300 ;3152;0824-00000079;;90,88;48.011,88C
10/08/2024;NOTA FISCAL Nº 233297 ;3152;0824-00000084;;138,6;48.150,48C
10/08/2024;NOTA FISCAL Nº 233297 ;3152;0824-00000090;;1.262,11;49.412,59C
10/08/2024;NOTA FISCAL Nº 233297 ;3152;0824-00000106;;412,38;49.824,97C
10/08/2024;NOTA FISCAL Nº 233300 ;3152;0824-00000109;;17,52;49.842,49C
10/08/2024;NOTA FISCAL Nº 233301 ;3152;0824-00000118;;97,57;49.940,06C
10/08/2024;NOTA FISCAL Nº 152615 ;3152;0824-00000121;;26,46;49.966,52C
10/08/2024;NOTA FISCAL Nº 233297 ;3152;0824-00000173;;121,99;50.088,51C
10/08/2024;NOTA FISCAL Nº 233487 ;5782;0824-00000822;;1.329,79;51.418,30C
10/08/2024;NOTA FISCAL Nº 233487 ;5782;0824-00000823;;1.074,57;52.492,87C
10/08/2024;NOTA FISCAL Nº 233487 ;5782;0824-00000824;;2.567,54;55.060,41C
10/08/2024;NOTA FISCAL Nº 233487 ;5782;0824-00000825;;207,45;55.267,86C
10/08/2024;NOTA FISCAL Nº 233487 ;5782;0824-00000826;;183,16;55.451,02C
10/08/2024;NOTA FISCAL Nº 233431 ;5782;0824-00000827;;74,82;55.525,84C
10/08/2024;NOTA FISCAL Nº 233299 ;5782;0824-00000828;;57,68;55.583,52C
10/08/2024;NOTA FISCAL Nº 233299 ;5782;0824-00000829;;519,38;56.102,90C
10/08/2024;NOTA FISCAL Nº 233299 ;5782;0824-00000830;;89,8;56.192,70C
10/08/2024;NOTA FISCAL Nº 233299 ;5782;0824-00000831;;49,44;56.242,14C
10/08/2024;NOTA FISCAL Nº 152779 ;5782;0824-00000832;;182,16;56.424,30C
10/08/2024;NOTA FISCAL Nº 154729 ;5782;0824-00000833;;112,48;56.536,78C
10/08/2024;NOTA FISCAL Nº 154729 ;5782;0824-00000834;;874,09;57.410,87C
10/08/2024;NOTA FISCAL Nº 154729 ;5782;0824-00000835;;85,21;57.496,08C
10/08/2024;NOTA FISCAL Nº 154111 ;5782;0824-00000836;;79,45;57.575,53C
10/08/2024;NOTA FISCAL Nº 153934 ;5782;0824-00000837;;94,21;57.669,74C
10/08/2024;NOTA FISCAL Nº 233903 ;5782;0824-00000838;;36;57.705,74C
10/08/2024;NOTA FISCAL Nº 233903 ;5782;0824-00000839;;20,46;57.726,20C
12/08/2024;NOTA FISCAL Nº 233902 ;3152;0824-00000067;;82,05;57.808,25C
12/08/2024;NOTA FISCAL Nº 154112 ;3152;0824-00000077;;79,45;57.887,70C
12/08/2024;NOTA FISCAL Nº 233902 ;3152;0824-00000089;;26,58;57.914,28C
12/08/2024;NOTA FISCAL Nº 154330 ;3152;0824-00000108;;149,66;58.063,94C
12/08/2024;NOTA FISCAL Nº 153996 ;3152;0824-00000110;;115,71;58.179,65C
12/08/2024;PAGAMENTO DUPLICATA Nº 55230 ;72;0824-00003729;101,74;;58.077,91C
12/08/2024;PAGAMENTO DUPLICATA Nº 55119 ;72;0824-00003799;140,54;;57.937,37C
12/08/2024;PAGAMENTO DUPLICATA Nº 62220 ;72;0824-00003926;217,97;;57.719,40C
12/08/2024;PAGAMENTO DUPLICATA Nº 55168 ;72;0824-00004098;440,95;;57.278,45C
12/08/2024;PAGAMENTO DUPLICATA Nº 100665 ;72;0824-00004193;674,75;;56.603,70C
12/08/2024;PAGAMENTO DUPLICATA Nº 62260 ;72;0824-00004222;77,92;;56.525,78C
12/08/2024;PAGAMENTO DUPLICATA Nº 61490 ;72;0824-00004231;82,14;;56.443,64C
12/08/2024;PAGAMENTO DUPLICATA Nº 55169 ;72;0824-00004242;85,55;;56.358,09C
13/08/2024;NOTA FISCAL Nº 157561 ;3152;0824-00000065;;16,77;56.374,86C
13/08/2024;NOTA FISCAL Nº 157561 ;3152;0824-00000070;;526,12;56.900,98C
13/08/2024;NOTA FISCAL Nº 157561 ;3152;0824-00000080;;93,64;56.994,62C
13/08/2024;NOTA FISCAL Nº 234490 ;3152;0824-00000107;;190,19;57.184,81C
13/08/2024;NOTA FISCAL Nº 157561 ;3152;0824-00000174;;12,12;57.196,93C
13/08/2024;NOTA FISCAL Nº 234491 ;5782;0824-00000840;;339,32;57.536,25C
13/08/2024;NOTA FISCAL Nº 157016 ;5782;0824-00000841;;126,82;57.663,07C
13/08/2024;NOTA FISCAL Nº 234243 ;5782;0824-00000842;;200,34;57.863,41C
13/08/2024;NOTA FISCAL Nº 155855 ;5782;0824-00000843;;62;57.925,41C
13/08/2024;NOTA FISCAL Nº 157725 ;5782;0824-00000844;;35,98;57.961,39C
13/08/2024;NOTA FISCAL Nº 157725 ;5782;0824-00000845;;874,44;58.835,83C
13/08/2024;NOTA FISCAL Nº 157725 ;5782;0824-00000846;;492,02;59.327,85C
13/08/2024;NOTA FISCAL Nº 157725 ;5782;0824-00000847;;6,06;59.333,91C
13/08/2024;PAGAMENTO DUPLICATA Nº 220101 ;72;0824-00003721;2.676,00;;56.657,91C
13/08/2024;PAGAMENTO DUPLICATA Nº 103160 ;72;0824-00003818;153,73;;56.504,18C
13/08/2024;PAGAMENTO DUPLICATA Nº 220164 ;72;0824-00003982;290,64;;56.213,54C
13/08/2024;PAGAMENTO DUPLICATA Nº 219696 ;72;0824-00004083;405,59;;55.807,95C
13/08/2024;PAGAMENTO DUPLICATA Nº 62536 ;72;0824-00004123;50,87;;55.757,08C
13/08/2024;PAGAMENTO DUPLICATA Nº 103112 ;72;0824-00004145;566,29;;55.190,79C
13/08/2024;PAGAMENTO DUPLICATA Nº 62572 ;72;0824-00004241;85,22;;55.105,57C
14/08/2024;PAGAMENTO DUPLICATA Nº 106552 ;72;0824-00003828;161,96;;54.943,61C
14/08/2024;PAGAMENTO DUPLICATA Nº 220328 ;72;0824-00004061;3.868,51;;51.075,10C
14/08/2024;PAGAMENTO DUPLICATA Nº 105902 ;72;0824-00004198;680,19;;50.394,91C
15/08/2024;NOTA FISCAL Nº 161745 ;3152;0824-00000072;;34,52;50.429,43C
15/08/2024;NOTA FISCAL Nº 235224 ;3152;0824-00000103;;143,74;50.573,17C
15/08/2024;NOTA FISCAL Nº 162081 ;3152;0824-00000122;;143,81;50.716,98C
15/08/2024;NOTA FISCAL Nº 158516 ;5782;0824-00000848;;242,65;50.959,63C
15/08/2024;NOTA FISCAL Nº 158516 ;5782;0824-00000849;;68,3;51.027,93C
15/08/2024;NOTA FISCAL Nº 235460 ;5782;0824-00000850;;345,97;51.373,90C
15/08/2024;NOTA FISCAL Nº 161711 ;5782;0824-00000851;;129,66;51.503,56C
15/08/2024;NOTA FISCAL Nº 162295 ;5782;0824-00000852;;87,25;51.590,81C
15/08/2024;NOTA FISCAL Nº 162295 ;5782;0824-00000853;;197,87;51.788,68C
15/08/2024;NOTA FISCAL Nº 162295 ;5782;0824-00000854;;131,95;51.920,63C
15/08/2024;PAGAMENTO DUPLICATA Nº 221458 ;72;0824-00003774;1.329,28;;50.591,35C
15/08/2024;PAGAMENTO DUPLICATA Nº 221565 ;72;0824-00004041;364,98;;50.226,37C
15/08/2024;PAGAMENTO DUPLICATA Nº 221387 ;72;0824-00004144;544,95;;49.681,42C
15/08/2024;PAGAMENTO DUPLICATA Nº 221087 ;72;0824-00004258;926,53;;48.754,89C
16/08/2024;NOTA FISCAL Nº 236679 ;3152;0824-00000098;;365,83;49.120,72C
16/08/2024;NOTA FISCAL Nº 236679 ;3152;0824-00000116;;49,4;49.170,12C
16/08/2024;NOTA FISCAL Nº 164270 ;3152;0824-00000120;;31,26;49.201,38C
16/08/2024;NOTA FISCAL Nº 236678 ;5782;0824-00000855;;100,68;49.302,06C
16/08/2024;PAGAMENTO DUPLICATA Nº 222111 ;72;0824-00003761;123,6;;49.178,46C
16/08/2024;PAGAMENTO DUPLICATA Nº 110139 ;72;0824-00003764;1.271,67;;47.906,79C
17/08/2024;NOTA FISCAL Nº 163543 ;3152;0824-00000119;;57,94;47.964,73C
19/08/2024;NOTA FISCAL Nº 237279 ;3152;0824-00000075;;532,45;48.497,18C
19/08/2024;NOTA FISCAL Nº 165915 ;3152;0824-00000087;;91,32;48.588,50C
19/08/2024;NOTA FISCAL Nº 237279 ;3152;0824-00000091;;232,77;48.821,27C
19/08/2024;NOTA FISCAL Nº 237279 ;3152;0824-00000102;;373,38;49.194,65C
19/08/2024;NOTA FISCAL Nº 165915 ;3152;0824-00000111;;44,93;49.239,58C
19/08/2024;NOTA FISCAL Nº 237279 ;3152;0824-00000115;;86,19;49.325,77C
19/08/2024;NOTA FISCAL Nº 165915 ;3152;0824-00000117;;361,91;49.687,68C
19/08/2024;NOTA FISCAL Nº 237279 ;3152;0824-00000170;;76,03;49.763,71C
19/08/2024;NOTA FISCAL Nº 166189 ;5782;0824-00000856;;56;49.819,71C
19/08/2024;NOTA FISCAL Nº 166060 ;5782;0824-00000857;;82,69;49.902,40C
19/08/2024;NOTA FISCAL Nº 166060 ;5782;0824-00000858;;504,89;50.407,29C
19/08/2024;NOTA FISCAL Nº 166060 ;5782;0824-00000859;;492,7;50.899,99C
19/08/2024;NOTA FISCAL Nº 166060 ;5782;0824-00000860;;12,12;50.912,11C
19/08/2024;NOTA FISCAL Nº 237277 ;5782;0824-00000861;;186,88;51.098,99C
19/08/2024;NOTA FISCAL Nº 237277 ;5782;0824-00000862;;340,44;51.439,43C
19/08/2024;NOTA FISCAL Nº 237277 ;5782;0824-00000863;;971,08;52.410,51C
19/08/2024;NOTA FISCAL Nº 237277 ;5782;0824-00000864;;248,1;52.658,61C
19/08/2024;PAGAMENTO DUPLICATA Nº 112992 ;72;0824-00004087;419,39;;52.239,22C
19/08/2024;PAGAMENTO DUPLICATA Nº 222387 ;72;0824-00004156;594,25;;51.644,97C
19/08/2024;PAGAMENTO DUPLICATA Nº 112643 ;72;0824-00004160;611,37;;51.033,60C
20/08/2024;NOTA FISCAL Nº 237938 ;3152;0824-00000097;;12,24;51.045,84C
20/08/2024;NOTA FISCAL Nº 237938 ;3152;0824-00000104;;219,65;51.265,49C
20/08/2024;NOTA FISCAL Nº 167209 ;3152;0824-00000126;;104,81;51.370,30C
20/08/2024;NOTA FISCAL Nº 238242 ;5782;0824-00000865;;961,49;52.331,79C
20/08/2024;NOTA FISCAL Nº 237822 ;5782;0824-00000866;;12,24;52.344,03C
20/08/2024;NOTA FISCAL Nº 237822 ;5782;0824-00000867;;297,02;52.641,05C
20/08/2024;PAGAMENTO DUPLICATA Nº 74552 ;72;0824-00003788;135,42;;52.505,63C
20/08/2024;PAGAMENTO DUPLICATA Nº 223205 ;72;0824-00003921;214,68;;52.290,95C
20/08/2024;PAGAMENTO DUPLICATA Nº 74335 ;72;0824-00003996;308,2;;51.982,75C
21/08/2024;NOTA FISCAL Nº 170375 ;5782;0824-00000868;;2.539,70;54.522,45C
21/08/2024;NOTA FISCAL Nº 170375 ;5782;0824-00000869;;806,66;55.329,11C
21/08/2024;NOTA FISCAL Nº 170375 ;5782;0824-00000870;;6,06;55.335,17C
21/08/2024;NOTA FISCAL Nº 171213 ;5782;0824-00000871;;120,68;55.455,85C
21/08/2024;NOTA FISCAL Nº 238563 ;5782;0824-00000872;;49,4;55.505,25C
21/08/2024;NOTA FISCAL Nº 238563 ;5782;0824-00000873;;239,19;55.744,44C
21/08/2024;PAGAMENTO DUPLICATA Nº 117486 ;72;0824-00003742;1.097,28;;54.647,16C
21/08/2024;PAGAMENTO DUPLICATA Nº 116967 ;72;0824-00003966;268,78;;54.378,38C
21/08/2024;PAGAMENTO DUPLICATA Nº 117467 ;72;0824-00004218;76,86;;54.301,52C
21/08/2024;PAGAMENTO DUPLICATA Nº 117289 ;72;0824-00004225;785,11;;53.516,41C
21/08/2024;PAGAMENTO DUPLICATA Nº 116979 ;72;0824-00004233;825,97;;52.690,44C
22/08/2024;NOTA FISCAL Nº 170354 ;3152;0824-00000064;;104,81;52.795,25C
22/08/2024;NOTA FISCAL Nº 173422 ;3152;0824-00000066;;17,49;52.812,74C
22/08/2024;NOTA FISCAL Nº 170110 ;3152;0824-00000074;;530,04;53.342,78C
22/08/2024;NOTA FISCAL Nº 238592 ;3152;0824-00000112;;472,84;53.815,62C
22/08/2024;NOTA FISCAL Nº 170110 ;3152;0824-00000171;;18,18;53.833,80C
22/08/2024;PAGAMENTO DUPLICATA Nº 224593 ;72;0824-00003907;206,41;;53.627,39C
23/08/2024;NOTA FISCAL Nº 239906 ;3152;0824-00000073;;140,86;53.768,25C
23/08/2024;NOTA FISCAL Nº 173290 ;5782;0824-00000874;;16,77;53.785,02C
23/08/2024;NOTA FISCAL Nº 173290 ;5782;0824-00000875;;498,31;54.283,33C
23/08/2024;PAGAMENTO DUPLICATA Nº 120839 ;72;0824-00004094;433,57;;53.849,76C
23/08/2024;PAGAMENTO DUPLICATA Nº 225305 ;72;0824-00004186;66,12;;53.783,64C
24/08/2024;NOTA FISCAL Nº 176812 ;3152;0824-00000078;;196,02;53.979,66C
24/08/2024;NOTA FISCAL Nº 176812 ;3152;0824-00000100;;41,6;54.021,26C
24/08/2024;NOTA FISCAL Nº 177535 ;3152;0824-00000125;;116,56;54.137,82C
24/08/2024;NOTA FISCAL Nº 239954 ;5782;0824-00000876;;22,44;54.160,26C
24/08/2024;NOTA FISCAL Nº 239954 ;5782;0824-00000877;;207,71;54.367,97C
24/08/2024;NOTA FISCAL Nº 175866 ;5782;0824-00000878;;132,04;54.500,01C
24/08/2024;NOTA FISCAL Nº 175866 ;5782;0824-00000879;;502,42;55.002,43C
24/08/2024;NOTA FISCAL Nº 175866 ;5782;0824-00000880;;2.069,12;57.071,55C
24/08/2024;NOTA FISCAL Nº 176895 ;5782;0824-00000881;;505,67;57.577,22C
24/08/2024;NOTA FISCAL Nº 177498 ;5782;0824-00000882;;66,3;57.643,52C
24/08/2024;NOTA FISCAL Nº 177371 ;5782;0824-00000883;;90,35;57.733,87C
24/08/2024;NOTA FISCAL Nº 177371 ;5782;0824-00000884;;661,18;58.395,05C
24/08/2024;NOTA FISCAL Nº 177371 ;5782;0824-00000885;;9,11;58.404,16C
24/08/2024;NOTA FISCAL Nº 177006 ;5782;0824-00000886;;77,03;58.481,19C
26/08/2024;NOTA FISCAL Nº 177370 ;3152;0824-00000082;;86,68;58.567,87C
26/08/2024;NOTA FISCAL Nº 177370 ;3152;0824-00000093;;270,88;58.838,75C
26/08/2024;PAGAMENTO DUPLICATA Nº 80778 ;72;0824-00003797;140,07;;58.698,68C
26/08/2024;PAGAMENTO DUPLICATA Nº 80777 ;72;0824-00003804;141,26;;58.557,42C
26/08/2024;PAGAMENTO DUPLICATA Nº 80776 ;72;0824-00003848;174,72;;58.382,70C
26/08/2024;PAGAMENTO DUPLICATA Nº 80364 ;72;0824-00003868;189,6;;58.193,10C
26/08/2024;PAGAMENTO DUPLICATA Nº 83637 ;72;0824-00003945;239,72;;57.953,38C
26/08/2024;PAGAMENTO DUPLICATA Nº 81340 ;72;0824-00004164;63,84;;57.889,54C
26/08/2024;PAGAMENTO DUPLICATA Nº 81341 ;72;0824-00004165;63,84;;57.825,70C
26/08/2024;PAGAMENTO DUPLICATA Nº 123837 ;72;0824-00004224;779,48;;57.046,22C
27/08/2024;NOTA FISCAL Nº 241674 ;5782;0824-00000887;;22,44;57.068,66C
27/08/2024;NOTA FISCAL Nº 241674 ;5782;0824-00000888;;533,15;57.601,81C
27/08/2024;PAGAMENTO DUPLICATA Nº 226264 ;72;0824-00003948;245,72;;57.356,09C
27/08/2024;PAGAMENTO DUPLICATA Nº 87516 ;72;0824-00004018;329,67;;57.026,42C
27/08/2024;PAGAMENTO DUPLICATA Nº 87568 ;72;0824-00004137;521,8;;56.504,62C
27/08/2024;PAGAMENTO DUPLICATA Nº 87144 ;72;0824-00004166;638,02;;55.866,60C
27/08/2024;PAGAMENTO DUPLICATA Nº 86932 ;72;0824-00004211;73,8;;55.792,80C
27/08/2024;PAGAMENTO DUPLICATA Nº 86933 ;72;0824-00004213;74,67;;55.718,13C
28/08/2024;NOTA FISCAL Nº 242104 ;5782;0824-00000889;;12,36;55.730,49C
28/08/2024;NOTA FISCAL Nº 242104 ;5782;0824-00000890;;901,52;56.632,01C
28/08/2024;NOTA FISCAL Nº 181224 ;5782;0824-00000891;;403,38;57.035,39C
28/08/2024;NOTA FISCAL Nº 181224 ;5782;0824-00000892;;34,41;57.069,80C
28/08/2024;NOTA FISCAL Nº 181224 ;5782;0824-00000893;;6,06;57.075,86C
28/08/2024;NOTA FISCAL Nº 182728 ;5782;0824-00000894;;62;57.137,86C
28/08/2024;PAGAMENTO DUPLICATA Nº 128619 ;72;0824-00004251;87,23;;57.050,63C
29/08/2024;NOTA FISCAL Nº 181156 ;3152;0824-00000076;;162,76;57.213,39C
29/08/2024;NOTA FISCAL Nº 242062 ;3152;0824-00000085;;227,53;57.440,92C
29/08/2024;NOTA FISCAL Nº 184675 ;3152;0824-00000088;;27,51;57.468,43C
29/08/2024;NOTA FISCAL Nº 182847 ;3152;0824-00000101;;166,98;57.635,41C
29/08/2024;NOTA FISCAL Nº 181156 ;3152;0824-00000113;;293,05;57.928,46C
29/08/2024;NOTA FISCAL Nº 184675 ;3152;0824-00000172;;6,06;57.934,52C
29/08/2024;NOTA FISCAL Nº 184114 ;5782;0824-00000895;;280,44;58.214,96C
29/08/2024;NOTA FISCAL Nº 184114 ;5782;0824-00000896;;6,06;58.221,02C
29/08/2024;NOTA FISCAL Nº 184676 ;5782;0824-00000897;;98,54;58.319,56C
29/08/2024;NOTA FISCAL Nº 184721 ;5782;0824-00000898;;233,62;58.553,18C
29/08/2024;NOTA FISCAL Nº 184721 ;5782;0824-00000899;;112,38;58.665,56C
30/08/2024;NOTA FISCAL Nº 243422 ;3152;0824-00000114;;92,48;58.758,04C
30/08/2024;NOTA FISCAL Nº 187190 ;5782;0824-00000900;;141,7;58.899,74C
30/08/2024;NOTA FISCAL Nº 243417 ;5782;0824-00000901;;48,51;58.948,25C
30/08/2024;NOTA FISCAL Nº 243417 ;5782;0824-00000902;;308,63;59.256,88C
30/08/2024;PAGAMENTO DUPLICATA Nº 228235 ;72;0824-00003707;205;;59.051,88C
30/08/2024;PAGAMENTO DUPLICATA Nº 90462 ;72;0824-00003846;170,89;;58.880,99C
30/08/2024;PAGAMENTO DUPLICATA Nº 132734 ;72;0824-00004149;57,94;;58.823,05C
30/08/2024;PAGAMENTO DUPLICATA Nº 132384 ;72;0824-00004188;666,09;;58.156,96C
02/09/2024;NOTA FISCAL Nº 243849 ;3152;0924-00000029;;91,56;58.248,52C
02/09/2024;NOTA FISCAL Nº 189387 ;3152;0924-00000030;;68,56;58.317,08C
02/09/2024;NOTA FISCAL Nº 189387 ;3152;0924-00000031;;177,37;58.494,45C
02/09/2024;NOTA FISCAL Nº 189387 ;3152;0924-00000032;;82;58.576,45C
02/09/2024;NOTA FISCAL Nº 189237 ;5782;0924-00000601;;942,04;59.518,49C
02/09/2024;NOTA FISCAL Nº 189178 ;5782;0924-00000624;;198,4;59.716,89C
02/09/2024;NOTA FISCAL Nº 189237 ;5782;0924-00000677;;16,77;59.733,66C
02/09/2024;PAGAMENTO DUPLICATA Nº 91937 ;72;0924-00003907;112,72;;59.620,94C
02/09/2024;PAGAMENTO DUPLICATA Nº 133592 ;72;0924-00003912;115,22;;59.505,72C
02/09/2024;PAGAMENTO DUPLICATA Nº 90667 ;72;0924-00003947;141,21;;59.364,51C
02/09/2024;PAGAMENTO DUPLICATA Nº 228461 ;72;0924-00004041;219,86;;59.144,65C
02/09/2024;PAGAMENTO DUPLICATA Nº 97051 ;72;0924-00004135;333,52;;58.811,13C
02/09/2024;PAGAMENTO DUPLICATA Nº 91268 ;72;0924-00004248;532,81;;58.278,32C
02/09/2024;PAGAMENTO DUPLICATA Nº 95349 ;72;0924-00004270;58,11;;58.220,21C
02/09/2024;PAGAMENTO DUPLICATA Nº 92114 ;72;0924-00004271;58,24;;58.161,97C
02/09/2024;PAGAMENTO DUPLICATA Nº 135052 ;72;0924-00004296;65,63;;58.096,34C
02/09/2024;PAGAMENTO DUPLICATA Nº 91564 ;72;0924-00004304;689,72;;57.406,62C
02/09/2024;PAGAMENTO DUPLICATA Nº 90668 ;72;0924-00004326;77,73;;57.328,89C
02/09/2024;PAGAMENTO DUPLICATA Nº 96977 ;72;0924-00004327;77,92;;57.250,97C
02/09/2024;PAGAMENTO DUPLICATA Nº 228545 ;72;0924-00004345;87,99;;57.162,98C
03/09/2024;NOTA FISCAL Nº 244369 ;3152;0924-00000033;;133,32;57.296,30C
03/09/2024;PAGAMENTO DUPLICATA Nº 99232 ;72;0924-00003895;105,54;;57.190,76C
03/09/2024;PAGAMENTO DUPLICATA Nº 228935 ;72;0924-00004002;193,3;;56.997,46C
04/09/2024;NOTA FISCAL Nº 245195 ;3152;0924-00000034;;334,09;57.331,55C
04/09/2024;NOTA FISCAL Nº 245195 ;3152;0924-00000035;;174,25;57.505,80C
04/09/2024;NOTA FISCAL Nº 245195 ;3152;0924-00000036;;1.033,58;58.539,38C
04/09/2024;NOTA FISCAL Nº 245195 ;3152;0924-00000037;;140,1;58.679,48C
04/09/2024;NOTA FISCAL Nº 245195 ;3152;0924-00000090;;73,51;58.752,99C
04/09/2024;NOTA FISCAL Nº 244933 ;5782;0924-00000596;;1.329,94;60.082,93C
04/09/2024;NOTA FISCAL Nº 244933 ;5782;0924-00000600;;2.648,06;62.730,99C
04/09/2024;NOTA FISCAL Nº 244838 ;5782;0924-00000623;;1.093,92;63.824,91C
04/09/2024;NOTA FISCAL Nº 191102 ;5782;0924-00000628;;529,86;64.354,77C
04/09/2024;NOTA FISCAL Nº 244933 ;5782;0924-00000653;;373,02;64.727,79C
04/09/2024;NOTA FISCAL Nº 191974 ;5782;0924-00000654;;614,2;65.341,99C
04/09/2024;NOTA FISCAL Nº 190927 ;5782;0924-00000660;;23,62;65.365,61C
04/09/2024;NOTA FISCAL Nº 244368 ;5782;0924-00000669;;30,56;65.396,17C
04/09/2024;NOTA FISCAL Nº 244368 ;5782;0924-00000676;;119,59;65.515,76C
04/09/2024;NOTA FISCAL Nº 244933 ;5782;0924-00000685;;224,47;65.740,23C
04/09/2024;NOTA FISCAL Nº 191974 ;5782;0924-00000686;;142,69;65.882,92C
04/09/2024;NOTA FISCAL Nº 244933 ;5782;0924-00000689;;468,64;66.351,56C
04/09/2024;PAGAMENTO DUPLICATA Nº 139128 ;72;0924-00003976;163,73;;66.187,83C
04/09/2024;PAGAMENTO DUPLICATA Nº 138922 ;72;0924-00004065;247,56;;65.940,27C
05/09/2024;NOTA FISCAL Nº 196299 ;5782;0924-00000622;;45,39;65.985,66C
05/09/2024;NOTA FISCAL Nº 196345 ;5782;0924-00000626;;2.271,99;68.257,65C
05/09/2024;NOTA FISCAL Nº 245231 ;5782;0924-00000632;;132,53;68.390,18C
05/09/2024;NOTA FISCAL Nº 196345 ;5782;0924-00000638;;52,23;68.442,41C
05/09/2024;NOTA FISCAL Nº 245231 ;5782;0924-00000663;;119,59;68.562,00C
05/09/2024;NOTA FISCAL Nº 196345 ;5782;0924-00000671;;368,54;68.930,54C
05/09/2024;NOTA FISCAL Nº 196299 ;5782;0924-00000681;;127,66;69.058,20C
06/09/2024;NOTA FISCAL Nº 246632 ;3152;0924-00000038;;69,01;69.127,21C
06/09/2024;NOTA FISCAL Nº 197826 ;5782;0924-00000599;;391,66;69.518,87C
06/09/2024;NOTA FISCAL Nº 246273 ;5782;0924-00000672;;749,93;70.268,80C
06/09/2024;NOTA FISCAL Nº 246273 ;5782;0924-00000679;;24,82;70.293,62C
06/09/2024;PAGAMENTO DUPLICATA Nº 101872 ;72;0924-00003924;122,91;;70.170,71C
06/09/2024;PAGAMENTO DUPLICATA Nº 100769 ;72;0924-00003974;162,68;;70.008,03C
06/09/2024;PAGAMENTO DUPLICATA Nº 231233 ;72;0924-00004107;299,52;;69.708,51C
06/09/2024;PAGAMENTO DUPLICATA Nº 142731 ;72;0924-00004251;539,73;;69.168,78C
06/09/2024;PAGAMENTO DUPLICATA Nº 102027 ;72;0924-00004338;81,94;;69.086,84C
06/09/2024;PAGAMENTO DUPLICATA Nº 142591 ;72;0924-00004346;882,38;;68.204,46C
09/09/2024;PAGAMENTO DUPLICATA Nº 231366 ;72;0924-00003925;124,05;;68.080,41C
09/09/2024;PAGAMENTO DUPLICATA Nº 231365 ;72;0924-00003930;129,53;;67.950,88C
09/09/2024;PAGAMENTO DUPLICATA Nº 103195 ;72;0924-00003985;170,89;;67.779,99C
09/09/2024;PAGAMENTO DUPLICATA Nº 103995 ;72;0924-00004130;326,53;;67.453,46C
09/09/2024;PAGAMENTO DUPLICATA Nº 145171 ;72;0924-00004225;472,82;;66.980,64C
09/09/2024;PAGAMENTO DUPLICATA Nº 104586 ;72;0924-00004254;54,76;;66.925,88C
09/09/2024;PAGAMENTO DUPLICATA Nº 103197 ;72;0924-00004340;84,48;;66.841,40C
09/09/2024;PAGAMENTO DUPLICATA Nº 144953 ;72;0924-00004369;989,6;;65.851,80C
10/09/2024;PAGAMENTO DUPLICATA Nº 109912 ;72;0924-00003914;116,82;;65.734,98C
10/09/2024;PAGAMENTO DUPLICATA Nº 110234 ;72;0924-00003936;134,82;;65.600,16C
10/09/2024;PAGAMENTO DUPLICATA Nº 109918 ;72;0924-00003980;167,48;;65.432,68C
10/09/2024;PAGAMENTO DUPLICATA Nº 231974 ;72;0924-00003986;173,32;;65.259,36C
10/09/2024;PAGAMENTO DUPLICATA Nº 231973 ;72;0924-00004129;326,1;;64.933,26C
10/09/2024;PAGAMENTO DUPLICATA Nº 110720 ;72;0924-00004365;97,9;;64.835,36C
